CONV_VALUE (V),TIMESTAMP (us)
161,645000,
11,650000,
180,655000,
172,660000,
57,345000,
69,350000,
77,355000,
84,360000,
243,365000,
222,370000,
201,375000,
37,380000,
64,385000,
77,390000,
81,395000,
233,400000,
222,405000,
55,410000,
64,415000,
73,420000,
89,425000,
248,430000,
212,435000,
198,440000,
43,445000,
62,450000,
66,455000,
76,460000,
90,465000,
97,470000,
241,475000,
218,1875,
0,22,
59,485000,
72,490000,
78,495000,
83,500000,
241,505000,
223,510000,
204,515000,
39,520000,
209,525000,
189,530000,
25,535000,
42,540000,
218,545000,
203,550000,
181,555000,
30,560000,
58,565000,
73,570000,
78,575000,
84,580000,
248,585000,
225,590000,
50,595000,
214,600000,
53,605000,
66,610000,
220,615000,
191,620000,
180,625000,
172,630000,
161,635000,
152,2500,
0,